iter	Passed	Remaining
0	149	74722
1	164	41037
2	177	29373
3	184	22846
4	190	18847
5	195	16120
6	200	14094
7	204	12550
8	207	11340
9	211	10371
10	215	9597
11	219	8942
12	223	8373
13	227	7890
14	230	7467
15	234	7101
16	238	6775
17	242	6488
18	245	6222
19	249	5994
20	253	5777
21	256	5579
22	260	5402
23	264	5237
24	267	5091
25	271	4951
26	275	4821
27	278	4701
28	282	4591
29	286	4492
30	290	4399
31	294	4312
32	299	4231
33	303	4153
34	307	4079
35	310	4005
36	314	3935
37	318	3871
38	322	3815
39	326	3758
40	330	3700
41	334	3647
42	338	3592
43	341	3542
44	345	3491
45	349	3446
46	353	3403
47	357	3365
48	361	3325
49	365	3289
50	369	3252
51	373	3215
52	376	3178
53	380	3144
54	384	3111
55	388	3077
56	391	3044
57	395	3014
58	399	2986
59	403	2957
60	407	2929
61	411	2906
62	415	2880
63	418	2853
64	422	2827
65	426	2803
66	430	2779
67	434	2758
68	438	2736
69	442	2716
70	445	2694
71	449	2672
72	453	2653
73	457	2635
74	461	2616
75	465	2595
76	468	2575
77	472	2558
78	476	2540
79	480	2523
80	484	2504
81	488	2488
82	492	2471
83	495	2454
84	499	2438
85	503	2424
86	507	2408
87	511	2393
88	515	2378
89	518	2364
90	522	2349
91	526	2335
92	530	2321
93	534	2307
94	538	2294
95	541	2280
96	545	2267
97	549	2254
98	553	2241
99	556	2227
100	560	2215
101	564	2202
102	568	2190
103	571	2177
104	575	2166
105	579	2153
106	583	2141
107	586	2129
108	590	2117
109	594	2107
110	598	2097
111	602	2086
112	605	2075
113	609	2064
114	613	2053
115	617	2043
116	621	2033
117	624	2023
118	628	2013
119	632	2003
120	636	1994
121	642	1990
122	646	1980
123	650	1971
124	654	1962
125	657	1951
126	661	1943
127	665	1933
128	669	1925
129	673	1917
130	677	1907
131	681	1898
132	685	1890
133	688	1881
134	692	1872
135	696	1863
136	700	1855
137	704	1846
138	708	1838
139	712	1831
140	716	1823
141	719	1814
142	723	1806
143	727	1798
144	732	1792
145	735	1783
146	739	1776
147	743	1768
148	747	1760
149	751	1753
150	755	1745
151	759	1738
152	763	1731
153	767	1724
154	771	1716
155	774	1708
156	779	1702
157	782	1694
158	786	1685
159	789	1677
160	793	1669
161	796	1662
162	800	1655
163	804	1647
164	807	1640
165	811	1633
166	815	1625
167	818	1617
168	822	1610
169	825	1602
170	829	1595
171	832	1588
172	836	1581
173	840	1574
174	844	1568
175	848	1561
176	851	1554
177	855	1547
178	859	1541
179	863	1534
180	867	1528
181	871	1521
182	874	1515
183	878	1509
184	882	1502
185	886	1496
186	890	1489
187	894	1483
188	898	1478
189	902	1472
190	906	1466
191	910	1460
192	913	1453
193	917	1447
194	921	1440
195	924	1434
196	928	1428
197	932	1422
198	936	1416
199	939	1409
200	943	1403
201	947	1397
202	950	1391
203	954	1385
204	958	1379
205	962	1373
206	966	1367
207	970	1361
208	973	1356
209	977	1350
210	981	1343
211	985	1338
212	988	1332
213	992	1326
214	996	1321
215	1000	1315
216	1005	1310
217	1009	1305
218	1013	1300
219	1017	1294
220	1021	1289
221	1025	1283
222	1029	1278
223	1032	1272
224	1037	1267
225	1040	1261
226	1044	1256
227	1048	1250
228	1052	1245
229	1055	1239
230	1059	1233
231	1063	1228
232	1066	1222
233	1070	1216
234	1073	1210
235	1076	1204
236	1079	1198
237	1083	1192
238	1086	1186
239	1089	1180
240	1093	1174
241	1096	1169
242	1099	1163
243	1103	1157
244	1106	1151
245	1109	1145
246	1112	1139
247	1116	1134
248	1119	1128
249	1122	1122
250	1125	1116
251	1129	1111
252	1132	1105
253	1135	1100
254	1140	1095
255	1144	1090
256	1147	1084
257	1150	1079
258	1154	1074
259	1157	1068
260	1161	1063
261	1164	1058
262	1168	1052
263	1171	1047
264	1174	1041
265	1177	1036
266	1181	1030
267	1184	1025
268	1187	1019
269	1190	1014
270	1194	1009
271	1197	1003
272	1200	998
273	1204	993
274	1207	988
275	1210	982
276	1213	977
277	1217	972
278	1220	967
279	1224	961
280	1227	956
281	1230	951
282	1234	946
283	1237	941
284	1240	935
285	1243	930
286	1247	925
287	1250	920
288	1253	915
289	1256	909
290	1260	905
291	1263	899
292	1266	894
293	1270	889
294	1273	884
295	1276	880
296	1280	875
297	1283	870
298	1287	865
299	1290	860
300	1293	855
301	1297	850
302	1300	845
303	1303	840
304	1307	835
305	1310	831
306	1314	826
307	1317	821
308	1321	816
309	1324	811
310	1327	807
311	1331	802
312	1334	797
313	1337	792
314	1341	787
315	1344	782
316	1347	778
317	1351	773
318	1354	768
319	1357	763
320	1361	759
321	1364	754
322	1367	749
323	1371	744
324	1375	740
325	1378	735
326	1381	730
327	1385	726
328	1388	721
329	1392	717
330	1395	712
331	1399	707
332	1402	703
333	1405	698
334	1409	694
335	1412	689
336	1416	684
337	1419	680
338	1422	675
339	1425	671
340	1429	666
341	1433	662
342	1436	657
343	1439	652
344	1443	648
345	1447	644
346	1450	639
347	1453	634
348	1457	630
349	1460	625
350	1463	621
351	1467	616
352	1470	612
353	1473	607
354	1477	603
355	1481	599
356	1484	594
357	1488	590
358	1491	585
359	1495	581
360	1498	576
361	1501	572
362	1505	568
363	1508	563
364	1511	559
365	1515	554
366	1518	550
367	1522	546
368	1525	541
369	1529	537
370	1532	532
371	1536	528
372	1539	524
373	1543	519
374	1546	515
375	1549	511
376	1553	506
377	1556	502
378	1560	498
379	1563	493
380	1567	489
381	1570	485
382	1574	480
383	1577	476
384	1580	472
385	1584	467
386	1587	463
387	1590	459
388	1593	454
389	1597	450
390	1600	446
391	1604	441
392	1607	437
393	1610	433
394	1613	429
395	1617	424
396	1620	420
397	1624	416
398	1627	412
399	1632	408
400	1635	403
401	1639	399
402	1642	395
403	1645	391
404	1649	386
405	1652	382
406	1656	378
407	1659	374
408	1663	370
409	1666	365
410	1670	361
411	1673	357
412	1677	353
413	1680	349
414	1683	344
415	1686	340
416	1691	336
417	1694	332
418	1698	328
419	1701	324
420	1705	320
421	1709	315
422	1712	311
423	1715	307
424	1718	303
425	1722	299
426	1725	294
427	1728	290
428	1731	286
429	1734	282
430	1738	278
431	1741	274
432	1744	269
433	1748	265
434	1751	261
435	1754	257
436	1758	253
437	1761	249
438	1765	245
439	1768	241
440	1771	237
441	1775	232
442	1778	228
443	1781	224
444	1785	220
445	1788	216
446	1791	212
447	1795	208
448	1799	204
449	1802	200
450	1805	196
451	1808	192
452	1811	187
453	1815	183
454	1818	179
455	1822	175
456	1825	171
457	1829	167
458	1833	163
459	1836	159
460	1839	155
461	1843	151
462	1847	147
463	1850	143
464	1854	139
465	1857	135
466	1861	131
467	1864	127
468	1867	123
469	1871	119
470	1874	115
471	1877	111
472	1880	107
473	1883	103
474	1887	99
475	1890	95
476	1894	91
477	1898	87
478	1901	83
479	1905	79
480	1909	75
481	1913	71
482	1917	67
483	1920	63
484	1924	59
485	1927	55
486	1931	51
487	1934	47
488	1938	43
489	1942	39
490	1946	35
491	1950	31
492	1954	27
493	1958	23
494	1961	19
495	1966	15
496	1970	11
497	1973	7
498	1977	3
499	1981	0
